,Unnamed: 0,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
0,0,life,solid cotton blend collar neck womens a-line dress - indigo,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1699",849,50% off,Westernwear-Women
1,1,only,polyester peter pan collar womens blouson dress - yellow,"Size:34,36,38,40","Rs
3499",2449,30% off,Westernwear-Women
2,2,fratini,solid polyester blend wide neck womens regular top - off white,"Size:Large,X-Large,XX-Large","Rs
1199",599,50% off,Westernwear-Women
3,3,zink london,stripes polyester sweetheart neck womens dress - black,"Size:Large,Medium,Small,X-Large","Rs
2299",1379,40% off,Westernwear-Women
4,4,life,regular fit regular length denim womens jeans - stone,"Size:26,28,30,32,34,36","Rs
1699",849,50% off,Westernwear-Women
5,5,kraus,wide ankle length cotton womens jeans - light blue,"Size:26,28,30,32,34","Rs
1795",1615,10% off,Westernwear-Women
6,6,life,printed cotton blend collared womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
7,7,fratini,embroidered wide neck polyester womens regular top - blush,Size:XX-Large,"Rs
1299",649,50% off,Westernwear-Women
8,8,rare,floral polyester v neck womens flared dress - navy,"Size:Large,Medium,Small,X-Large","Rs
2099",839,60% off,Westernwear-Women
9,9,rare,checks cotton boat neck womens regular top - black,"Size:Medium,Small,X-Large","Rs
1499",599,60% off,Westernwear-Women
10,10,life,solid square neck cotton womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
11,11,life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36","Rs
999",499,50% off,Westernwear-Women
12,12,life,printed blended round neck womens shift dress - orange,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
13,13,life,printed jersey round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
599",299,50% off,Westernwear-Women
14,14,life,printed crepe square neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
15,15,life,solid cotton collar neck womens shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1199",599,50% off,Westernwear-Women
16,16,life,solid cotton lycra round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Small","Rs
599",299,50% off,Westernwear-Women
17,17,life,printed cotton collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
18,18,van heusen,solid cotton v neck womens formal shirt - maroon,"Size:Large,Small,X-Small","Rs
1999",799,60% off,Westernwear-Women
19,19,life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36","Rs
1999",999,50% off,Westernwear-Women
20,20,fratini,solid round neck viscose womens regular dress - olive,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1499",749,50% off,Westernwear-Women
21,21,life,solid wide neck viscose womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
22,22,Nan,Nan,Nan,Nan,Nan,No Discount,Westernwear-Women
23,23,stop,printed regular neck cotton womens formal shirt - ecru,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
799",399,50% off,Westernwear-Women
24,24,life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36","Rs
1999",999,50% off,Westernwear-Women
25,25,zink london,floral viscose sweetheart neck womens dress - green,"Size:Medium,Small,X-Small,XX-Large","Rs
2799",1679,40% off,Westernwear-Women
26,0,life,printed viscose v neck womens regular woven top - off white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1199",599,50% off,Westernwear-Women
27,1,life,printed cotton blend v neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
28,2,zink z,solid cotton blend v neck womens top - maroon,"Size:Large,Medium,Small,X-Large,X-Small",Nan,1299,No Discount,Westernwear-Women
29,3,stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
899",449,50% off,Westernwear-Women
30,4,life,printed cotton blend round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
31,5,life,embroidered viscose square neck womens regular top - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1199",599,50% off,Westernwear-Women
32,6,life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36,Medium","Rs
1699",849,50% off,Westernwear-Women
33,7,life,printed cotton lycra round neck womens t-shirt - pink mix,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
34,8,cover story,solid round neck cotton womens regular dress - dark brown,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2890",1445,50% off,Westernwear-Women
